src_ip,dst_ip,src_port,dst_port,src_mac,dst_mac,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
157.240.198.60,192.168.0.102,443,58169,c4:71:54:49:11:3d,f0:a6:54:29:63:45,6,2025-07-15 00:08:06,203098.77395629883,1506.656067090994,19.694850550209072,9.847425275104536,9.847425275104536,2,2,186,120,93.0,93.0,93.0,0.0,66.0,54.0,60.0,6.0,93,54,76.5,17.03672503740082,290.25,40,40,20,2,67699.59131876628,202556.84852600095,263.9293670654297,95358.48123637344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,76.5,267,1021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,60.0,0,2,2,186,120
163.70.145.60,192.168.0.102,443,58168,c4:71:54:49:11:3d,f0:a6:54:29:63:45,6,2025-07-15 00:08:06,316.85829162597656,463929.7878103838,6311.969902182092,3155.984951091046,3155.984951091046,1,1,93,54,93.0,93.0,93.0,0.0,54.0,54.0,54.0,0.0,93,54,73.5,19.5,380.25,20,20,20,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,73.5,267,1021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,54.0,0,1,1,93,54
192.168.0.102,103.21.187.19,65023,53,f0:a6:54:29:63:45,c4:71:54:49:11:3d,17,2025-07-15 00:08:06,57013.03482055664,6454.66429138962,35.07969723581316,17.53984861790658,17.53984861790658,1,1,79,289,79.0,79.0,79.0,0.0,289.0,289.0,289.0,0.0,289,79,184.0,105.0,11025.0,8,8,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,184.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,289.0,0,1,1,79,289
192.168.0.102,103.21.187.19,64836,53,f0:a6:54:29:63:45,c4:71:54:49:11:3d,17,2025-07-15 00:08:06,57231.90307617188,7408.455375591549,34.94554422448844,17.47277211224422,17.47277211224422,1,1,79,345,79.0,79.0,79.0,0.0,345.0,345.0,345.0,0.0,345,79,212.0,133.0,17689.0,8,8,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,212.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,345.0,0,1,1,79,345
192.168.0.102,13.107.246.48,58238,443,f0:a6:54:29:63:45,c4:71:54:49:11:3d,6,2025-07-15 00:08:06,356132.03048706055,174016.92264310858,216.21194784050087,92.66226336021464,123.54968448028622,33,44,5554,56419,1464.0,54.0,168.3030303030303,304.19227221556065,1464.0,54.0,1282.25,458.8382625025551,1464,54,804.8441558441558,681.0651524974429,463849.7419463652,660,880,20,7,4685.947769566586,219918.01261901853,0.0,25058.495049705278,353398.08464050293,233596.8017578125,0.0,11043.690145015717,40164.26810220479,347739.93492126465,219918.01261901853,0.0,8086.975230727085,32914.99038449482,0,0,0,0,1,0,0,0,0,0,0,1.3333333333333333,804.8441558441558,65535,83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53580.0,38.0,0.0,630649.8375745058,168.3030303030303,1282.25,0,33,44,5554,56419
192.168.0.102,13.107.246.48,58238,443,f0:a6:54:29:63:45,c4:71:54:49:11:3d,6,2025-07-15 00:08:06,145241.02210998535,31513.135431765397,48.19575005950573,27.54042860543185,20.655321454073885,4,3,240,4337,66.0,54.0,60.0,6.0,1464.0,1409.0,1445.6666666666667,25.927248643506744,1464,54,653.8571428571429,685.9521908728518,470530.4081632653,80,60,20,0,24206.83701833089,112688.06457519533,72.95608520507812,40224.026746595366,145241.02210998535,112766.02745056152,15105.009078979492,48413.67403666178,45513.37951319837,32476.90200805664,17366.886138916016,15110.015869140623,16238.45100402832,1128.4351348876953,0,0,0,0,1,0,0,0,0,0,0,0.75,653.8571428571429,255,83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,1445.6666666666667,0,4,3,240,4337
192.168.0.102,142.250.193.106,62321,443,f0:a6:54:29:63:45,c4:71:54:49:11:3d,17,2025-07-15 00:08:06,7469117.164611816,225.06006572831217,3.079346526919202,1.47273094765701,1.6066155792621928,11,12,787,894,77.0,71.0,71.54545454545455,1.7248787237282068,120.0,67.0,74.5,13.799154563474772,120,67,73.08695652173913,10.14637670808932,102.94896030245748,88,96,8,11,339505.32566417346,3209443.0923461914,0.0,724468.4504218407,7364950.180053711,3215616.9414520264,61701.05934143066,736495.0180053711,938773.6983368408,7445753.09753418,3325639.9631500244,0.0,676886.64523038,971128.0050919132,0,0,0,0,1,0,0,0,0,0,0,1.0909090909090908,73.08695652173913,0,0,0.0,0.0,0.0,0.0,1615357.1605682373,1594085.931777954,1604721.5461730957,10635.614395141602,151.0,5.0,167.0,6.0,206.99675683025012,141048.8860249698,71.54545454545455,74.5,0,11,12,787,894
157.240.239.60,192.168.0.102,443,58173,c4:71:54:49:11:3d,f0:a6:54:29:63:45,6,2025-07-15 00:08:06,16649222.135543823,26.487723955494896,0.4204400627856332,0.1801885983366999,0.2402514644489332,3,4,225,216,93.0,54.0,75.0,16.06237840420901,54.0,54.0,54.0,0.0,93,54,63.0,14.784161409137434,218.57142857142856,60,80,20,2,2774870.3559239707,11653279.066085815,72.00241088867188,4369500.563652849,4995867.013931274,4995685.10055542,181.9133758544922,2497933.506965637,2497751.5935897827,16649108.171463013,11653279.066085815,185.96649169921875,5549702.723821004,4773460.045899353,0,0,0,0,1,0,0,0,0,0,0,1.3333333333333333,63.0,273,1021,0.0,0.0,0.0,0.0,6657707.929611206,4995571.136474609,5826639.533042908,831068.3965682983,0.0,0.0,0.0,0.0,0.0,0.0,75.0,54.0,0,3,4,225,216
163.70.146.60,192.168.0.102,443,58171,c4:71:54:49:11:3d,f0:a6:54:29:63:45,6,2025-07-15 00:08:06,16649039.98374939,32.9748742591682,0.540571709166692,0.2402540929629741,0.3003176162037177,4,5,279,270,93.0,54.0,69.75,16.618889854620253,54.0,54.0,54.0,0.0,93,54,61.0,13.564659966250536,184.0,80,100,20,2,2081129.9979686737,11416931.867599487,30.994415283203125,3884276.085681944,5232059.001922607,4995867.013931274,20859.0030670166,1744019.667307536,2300773.5520490706,16648821.830749512,11416931.867599487,20876.169204711918,4162205.457687378,4638268.478593818,0,0,0,0,1,0,0,0,0,0,0,1.25,61.0,267,1021,0.0,0.0,0.0,0.0,6421283.006668091,4995648.8609313965,5708465.933799744,712817.0728683472,0.0,0.0,0.0,0.0,0.0,0.0,69.75,54.0,0,4,5,279,270
192.168.0.102,52.5.134.80,58224,443,f0:a6:54:29:63:45,c4:71:54:49:11:3d,6,2025-07-15 00:08:06,1318862.9150390625,1213.924496430761,8.340518089155763,3.0329156687839136,5.307602420371849,4,7,461,1140,299.0,54.0,115.25,106.08811196359372,272.0,89.0,162.85714285714286,65.34617394292945,299,54,145.54545454545453,85.64128532469672,7334.429752066115,80,140,20,1,131886.29150390625,716310.0242614746,0.0,225629.86504373283,1318862.9150390625,736295.9384918213,288820.9819793701,439620.9716796875,209790.51597086832,1025197.982788086,716346.9791412354,0.0,170866.330464681,265135.0093451993,0,0,0,0,1,0,0,0,0,0,0,1.75,145.54545454545453,251,768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,762.0,7.0,0.0,743.2710684112901,115.25,162.85714285714286,0,4,7,461,1140
