src_ip,dst_ip,src_port,dst_port,src_mac,dst_mac,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.1.3,172.64.149.246,56616,443,58:1c:f8:e7:a3:e2,54:37:bb:34:77:70,6,2025-07-15 03:34:02,140890.12145996094,837432.7367836788,723.9684297453531,70.97729703385815,652.991132711495,10,92,1211,116775,190.0,54.0,121.1,67.10804720746984,1470.0,64.0,1269.2934782608695,403.6413210319571,1470,54,1156.7254901960785,513.7829738831472,263972.94425221067,200,1840,20,5,1394.9516976233756,50209.999084472656,0.0,6345.459804741467,140890.12145996094,99524.97482299805,226.02081298828125,15654.45793999566,29921.43338026251,140298.84338378906,50209.999084472656,0.0,1541.7455316899898,6823.3128772080545,0,0,0,0,1,0,0,0,0,0,0,9.2,1156.7254901960785,511,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36876.666666666664,30.0,0.0,1075425.1759557978,121.1,1269.2934782608695,0,10,92,1211,116775
192.168.1.3,129.80.246.81,49813,443,58:1c:f8:e7:a3:e2,54:37:bb:34:77:70,6,2025-07-15 03:34:03,14320338.96446228,117.0363358129444,1.5362764844181247,0.6983074929173294,0.8379689915007953,10,12,980,696,102.0,82.0,98.0,8.0,78.0,54.0,58.0,8.94427190999916,102,54,76.18181818181819,21.6661368869327,469.4214876033058,200,240,20,10,681920.9030696324,1671921.968460083,351.90582275390625,588432.0169466361,14003391.981124878,2002780.9143066406,550333.9767456055,1555932.4423472087,562916.8150557254,13926553.964614868,2048071.1460113525,305330.0380706787,1266050.3604195334,692041.9369764726,0,0,0,0,1,0,0,0,0,0,0,1.2,76.18181818181819,511,275,545403.9573669434,40714.97917175293,293059.46826934814,252344.48909759521,1655142.068862915,57494.8787689209,738257.9644521078,673267.6474318049,0.0,0.0,0.0,0.0,0.0,0.0,98.0,58.0,0,10,12,980,696
87.119.220.3,192.168.1.3,7070,49802,54:37:bb:34:77:70,58:1c:f8:e7:a3:e2,6,2025-07-15 03:34:03,15266726.016998291,14.148416612671316,0.2620077150494688,0.1310038575247344,0.1310038575247344,2,2,108,108,54.0,54.0,54.0,0.0,54.0,54.0,54.0,0.0,54,54,54.0,0.0,0.0,40,40,20,0,5088908.672332764,15266494.035720825,98.94371032714844,7196639.62657011,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,54.0,83,253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,54.0,0,2,2,108,108
192.168.1.3,203.0.113.1,58263,12345,58:1c:f8:e7:a3:e2,54:37:bb:34:77:70,17,2025-07-15 03:34:04,0.0,0,0,0,0,1,0,107,0,107.0,107.0,107.0,0.0,0.0,0.0,0.0,0.0,107,107,107.0,0.0,0.0,8,0,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,107.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0,1,0,107,0
192.168.1.3,192.168.1.1,58270,5351,58:1c:f8:e7:a3:e2,54:37:bb:34:77:70,17,2025-07-15 03:34:04,0.0,0,0,0,0,1,0,66,0,66.0,66.0,66.0,0.0,0.0,0.0,0.0,0.0,66,66,66.0,0.0,0.0,8,0,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,66.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0,1,0,66,0
192.168.1.3,192.168.1.1,58269,5351,58:1c:f8:e7:a3:e2,54:37:bb:34:77:70,17,2025-07-15 03:34:04,0.0,0,0,0,0,1,0,44,0,44.0,44.0,44.0,0.0,0.0,0.0,0.0,0.0,44,44,44.0,0.0,0.0,8,0,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,44.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0,1,0,44,0
192.168.1.3,89.169.174.133,64566,3478,58:1c:f8:e7:a3:e2,54:37:bb:34:77:70,17,2025-07-15 03:34:04,206824.06425476074,696.2439333105086,9.67005462931262,4.83502731465631,4.83502731465631,1,1,70,74,70.0,70.0,70.0,0.0,74.0,74.0,74.0,0.0,74,70,72.0,2.0,4.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,72.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,74.0,0,1,1,70,74
192.168.1.3,209.237.141.15,64566,3478,58:1c:f8:e7:a3:e2,54:37:bb:34:77:70,17,2025-07-15 03:34:04,715155.1246643066,391.52344763163353,5.593192109023336,5.593192109023336,0.0,4,0,280,0,70.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,70,70,70.0,0.0,0.0,32,0,8,4,238385.0415547689,264645.0996398926,220282.07778930664,19007.42079178167,715155.1246643066,264645.0996398926,220282.07778930664,238385.0415547689,19007.42079178167,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,70.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,4.0,0.0,0.0,156.6093790526534,0.0,70.0,0.0,0,4,0,280,0
192.168.1.3,46.166.162.84,64566,3478,58:1c:f8:e7:a3:e2,54:37:bb:34:77:70,17,2025-07-15 03:34:04,231345.89195251465,605.1544672716124,8.645063818165891,8.645063818165891,0.0,2,0,140,0,70.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,70,70,70.0,0.0,0.0,16,0,8,2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,70.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0,2,0,140,0
192.168.1.3,122.173.30.151,58263,23941,58:1c:f8:e7:a3:e2,54:37:bb:34:77:70,17,2025-07-15 03:34:04,0.0,0,0,0,0,1,0,70,0,70.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,70,70,70.0,0.0,0.0,8,0,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,70.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0,1,0,70,0
