src_ip,dst_ip,src_port,dst_port,src_mac,dst_mac,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,label
172.16.0.5,192.168.50.1,962,55525,00:00:00:00:00:00,00:00:00:00:00:00,0,2025-07-16T13:59:03.462669,0,2944000000.0,0.0,2000000.0,0.0,0,0,2944,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,0,DrDoS_DNS
172.16.0.5,192.168.50.1,651,12799,00:00:00:00:00:00,00:00:00:00:00:00,0,2025-07-16T13:59:03.462669,0,2944000000.0,0.0,2000000.0,0.0,0,0,2944,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,0,DrDoS_DNS
172.16.0.5,192.168.50.1,775,14179,00:00:00:00:00:00,00:00:00:00:00:00,0,2025-07-16T13:59:03.462669,0,2896000000.0,0.0,2000000.0,0.0,0,0,2896,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,0,DrDoS_DNS
172.16.0.5,192.168.50.1,564,41007,00:00:00:00:00:00,00:00:00:00:00:00,0,2025-07-16T13:59:03.462669,0,2944000000.0,0.0,2000000.0,0.0,0,0,2944,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,0,DrDoS_DNS
172.16.0.5,192.168.50.1,704,22002,00:00:00:00:00:00,00:00:00:00:00:00,0,2025-07-16T13:59:03.462669,0,2896000000.0,0.0,2000000.0,0.0,0,0,2896,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,0,DrDoS_DNS
172.16.0.5,192.168.50.1,844,10338,00:00:00:00:00:00,00:00:00:00:00:00,0,2025-07-16T13:59:03.462669,0,2944000000.0,0.0,2000000.0,0.0,0,0,2944,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,0,DrDoS_DNS
172.16.0.5,192.168.50.1,953,22161,00:00:00:00:00:00,00:00:00:00:00:00,0,2025-07-16T13:59:03.462669,0,2944000000.0,0.0,2000000.0,0.0,0,0,2944,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,0,DrDoS_DNS
172.16.0.5,192.168.50.1,999,37306,00:00:00:00:00:00,00:00:00:00:00:00,0,2025-07-16T13:59:03.462669,0,61333333.33,0.0,41666.66667,0.0,0,0,2944,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,48,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,0,DrDoS_DNS
172.16.0.5,192.168.50.1,816,14215,00:00:00:00:00:00,00:00:00:00:00:00,0,2025-07-16T13:59:03.462669,0,2944000000.0,0.0,2000000.0,0.0,0,0,2944,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,0,DrDoS_DNS
172.16.0.5,192.168.50.1,772,8678,00:00:00:00:00:00,00:00:00:00:00:00,0,2025-07-16T13:59:03.462669,0,2944000000.0,0.0,2000000.0,0.0,0,0,2944,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,0,DrDoS_DNS
