src_ip,dst_ip,flow_id,timestamp,src_port,dst_port,protocol,flow_duration,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,flow_byts_s,flow_pkts_s,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,pkt_len_min,pkt_len_max,pkt_len_mean,pkt_len_std,pkt_len_var,pkt_size_avg,down_up_ratio,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_tot,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_tot,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_header_len,bwd_header_len,fwd_pkts_s,bwd_pkts_s,fwd_seg_size_avg,bwd_seg_size_avg,fwd_seg_size_min,init_fwd_win_byts,init_bwd_win_byts,fwd_byts_b_avg,fwd_pkts_b_avg,fwd_blk_rate_avg,bwd_byts_b_avg,bwd_pkts_b_avg,bwd_blk_rate_avg,subflow_fwd_pkts,subflow_fwd_byts,subflow_bwd_pkts,subflow_bwd_byts,fwd_act_data_pkts,cwe_flag_count,ece_flag_cnt,active_mean,active_std,active_max,active_min,idle_mean,idle_std,idle_max,idle_min
10.0.0.1,192.168.1.10,5b9a58a31d69d3e12ca5128fb1bfd77d,1752171544.380472,56703,80,6,0.001,1,0,40,0,40,40,40,0,0,0,0,0,40000.0,1000.0,0,0,0,0,0,1,0,0,0,0,40,40,40,0,0,40.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000.0,0.0,40,0,40,15417,11886,40,1,1000.0,0,0,0.0,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0
10.0.0.1,192.168.1.10,fe1f35548db3b8c0f4ec01bd8dfdf243,1752171543.780069,18901,80,6,0.001,1,0,40,0,40,40,40,0,0,0,0,0,40000.0,1000.0,0,0,0,0,0,1,0,0,0,0,40,40,40,0,0,40.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000.0,0.0,40,0,40,18930,10390,40,1,1000.0,0,0,0.0,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0
10.0.0.1,192.168.1.10,fe8bfabcb022b569d3c48e46062f0fc2,1752171545.095624,48782,80,6,0.001,1,0,40,0,40,40,40,0,0,0,0,0,40000.0,1000.0,0,0,0,0,0,1,0,0,0,0,40,40,40,0,0,40.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000.0,0.0,40,0,40,10352,15684,40,1,1000.0,0,0,0.0,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0
10.0.0.1,192.168.1.10,490b1891d7ab13bdaa01bc94671e793e,1752171545.356008,48590,80,6,0.001,1,0,40,0,40,40,40,0,0,0,0,0,40000.0,1000.0,0,0,0,0,0,1,0,0,0,0,40,40,40,0,0,40.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000.0,0.0,40,0,40,3900,14704,40,1,1000.0,0,0,0.0,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0
10.0.0.1,192.168.1.10,3ec337cb581f0f4124cea6adad1b6037,1752171544.332474,10719,80,6,0.001,1,0,40,0,40,40,40,0,0,0,0,0,40000.0,1000.0,0,0,0,0,0,1,0,0,0,0,40,40,40,0,0,40.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000.0,0.0,40,0,40,17596,15325,40,1,1000.0,0,0,0.0,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0
10.0.0.1,192.168.1.10,dbba898cb2a0293b9c32d429bdf9ffff,1752171543.904083,10629,80,6,0.001,1,0,40,0,40,40,40,0,0,0,0,0,40000.0,1000.0,0,0,0,0,0,1,0,0,0,0,40,40,40,0,0,40.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000.0,0.0,40,0,40,8276,13639,40,1,1000.0,0,0,0.0,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0
10.0.0.1,192.168.1.10,4fd4136efdc12beb3d3fdbcd80a9d604,1752171545.069374,4522,80,6,0.001,1,0,40,0,40,40,40,0,0,0,0,0,40000.0,1000.0,0,0,0,0,0,1,0,0,0,0,40,40,40,0,0,40.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000.0,0.0,40,0,40,18865,3806,40,1,1000.0,0,0,0.0,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0
10.0.0.1,192.168.1.10,b24b944836b036f561536e1ef1c17a86,1752171544.932769,30530,80,6,0.001,1,0,40,0,40,40,40,0,0,0,0,0,40000.0,1000.0,0,0,0,0,0,1,0,0,0,0,40,40,40,0,0,40.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000.0,0.0,40,0,40,12078,1888,40,1,1000.0,0,0,0.0,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0
10.0.0.1,192.168.1.10,77683ea08f11bdceef07d4e4f35cbcab,1752171544.430362,31848,80,6,0.001,1,0,40,0,40,40,40,0,0,0,0,0,40000.0,1000.0,0,0,0,0,0,1,0,0,0,0,40,40,40,0,0,40.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000.0,0.0,40,0,40,3122,19869,40,1,1000.0,0,0,0.0,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0
10.0.0.1,192.168.1.10,f75fbb867fc22e893edbcf098a20acf4,1752171545.05668,57400,80,6,0.001,1,0,40,0,40,40,40,0,0,0,0,0,40000.0,1000.0,0,0,0,0,0,1,0,0,0,0,40,40,40,0,0,40.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000.0,0.0,40,0,40,9014,15849,40,1,1000.0,0,0,0.0,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0
